sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
0,0,0.0,0,215630.3681029,215630.414046,45.12319999048486,45.94309997628443,20.445000001927838,8.72220000019297,0.0,True,ok,4708,4708
1,1,0.1,0,215630.3922576,215630.4396361,25.564399984432384,47.37849999219179,21.002699999371544,3.0097999842837453,0.0,True,ok,4681,4681
2,2,0.2,0,215630.425946,215630.4635045,23.854799976106733,37.55849998560734,19.764299999224022,2.778900001430884,0.0,True,ok,4360,4360
3,3,0.30000000000000004,0,215630.459466,215630.4876828,24.166900024283677,28.216800012160093,20.552000001771376,2.2440000029746443,0.0,True,ok,4532,4532
4,4,0.4,0,215630.4925405,215630.5161504,22.856300027342513,23.609900003066286,19.455999979982153,2.0668000215664506,0.0,True,ok,4533,4533
5,5,0.5,0,215630.5255369,215630.5497192,23.55610000086017,24.182299996027723,19.868600007612258,2.418399992166087,0.0,True,ok,4334,4334
6,6,0.6000000000000001,0,215630.558883,215630.5831709,23.64810000290163,24.2879000143148,20.225100015522912,2.1600000036414713,0.0,True,ok,4462,4462
7,7,0.7000000000000001,0,215630.592311,215630.6163333,23.5487999743782,24.022300000069663,19.946499989600852,2.170099993236363,0.0,True,ok,4479,4479
8,8,0.8,0,215630.6258312,215630.6497726,23.48640002310276,23.94139999523759,20.104800001718104,2.1453000081237406,0.0,True,ok,4534,4534
9,9,0.9,0,215630.659139,215630.6833092,23.488999984692782,24.170199991203845,19.99989998876117,2.197800000431016,0.0,True,ok,4491,4491
10,10,1.0,0,215630.6921422,215630.7160682,23.32649999880232,23.926000023493543,19.73070000531152,2.300799998920411,0.0,True,ok,4600,4600
11,11,1.1,0,215630.725674,215630.7491613,23.034099984215572,23.487300000851974,19.596600002842024,2.19130000914447,0.0,True,ok,4781,4781
12,12,1.2000000000000002,0,215630.7590292,215630.7824619,22.949100006371737,23.432699992554262,19.489700003759935,1.9953999726567417,0.0,True,ok,5044,5044
13,13,1.3,0,215630.7924461,215630.8169945,23.845599993364885,24.548399989726022,20.014299981994554,2.3609000199940056,0.0,True,ok,4620,4620
14,14,1.4000000000000001,0,215630.8258442,215630.8501643,23.66110001457855,24.320099997567013,20.048000005772337,2.3153000220190734,0.0,True,ok,4785,4785
