sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
0,0,0.0,0,215812.9498264,215812.9782456,27.600500005064532,28.419200010830536,3.793100011534989,7.597000017995015,0.0,True,ok,4708,4708
1,1,0.1,0,215812.9735833,215812.9850149,6.750900007318705,11.431600025389344,3.350199986016378,1.9380000012461096,0.0,True,ok,4681,4681
2,2,0.2,0,215813.0071644,215813.0142535,6.580200017197058,7.089099992299452,3.251700021792203,2.019900013692677,0.0,True,ok,4360,4360
3,3,0.30000000000000004,0,215813.0406037,215813.0477793,6.334999983664602,7.175599981565028,2.9328999808058143,2.125500002875924,33.43929999391548,True,ok,4532,4532
4,4,0.4,0,215813.073677,215813.0800429,5.927999998675659,6.3658999861218035,2.8955000161658973,1.8178999889642,0.0,True,ok,4533,4533
5,5,0.5,0,215813.1067498,215813.1137658,6.308899988653138,7.015999988652766,3.003700025146827,2.05939999432303,0.0,True,ok,4334,4334
6,6,0.6000000000000001,0,215813.140256,215813.1472831,6.262799986870959,7.027099985862151,3.111099998932332,1.9437000155448914,0.0,True,ok,4462,4462
7,7,0.7000000000000001,0,215813.1739411,215813.1807544,6.169500004034489,6.813300016801804,2.9181999852880836,2.032500022323802,0.0,True,ok,4479,4479
8,8,0.8,0,215813.207241,215813.2141267,6.2006000080145895,6.885700015118346,3.0573000258300453,1.9459000031929463,0.0,True,ok,4534,4534
9,9,0.9,0,215813.2401544,215813.246676,5.960400012554601,6.521600007545203,2.845600014552474,1.872599998023361,0.0,True,ok,4491,4491
10,10,1.0,0,215813.2733726,215813.2806444,6.473499990534037,7.271799986483529,3.045899997232482,2.0124999864492565,0.0,True,ok,4600,4600
11,11,1.1,0,215813.3070761,215813.314563,6.996699987212196,7.4868999945465475,3.945400007069111,1.824399980250746,0.0,True,ok,4781,4781
12,12,1.2000000000000002,0,215813.3401808,215813.3472081,6.372799980454147,7.0272999873850495,3.2768999808467925,1.8530999950598925,0.0,True,ok,5044,5044
13,13,1.3,0,215813.373832,215813.3806324,6.204299977980554,6.800399976782501,2.9420999926514924,2.0422000088728964,0.0,True,ok,4620,4620
14,14,1.4000000000000001,0,215813.4067892,215813.4134065,6.139500008430332,6.617300008656457,2.8645999846048653,2.0647000055760145,0.0,True,ok,4785,4785
15,15,1.5,0,215813.4402589,215813.4470173,6.0374999884516,6.758400006219745,2.908099995693192,1.867000013589859,0.0,True,ok,5045,5045
16,16,1.6,0,215813.4735144,215813.4810123,6.814799999119714,7.497900020098314,3.351999999722466,2.044200024101883,0.0,True,ok,5382,5382
17,17,1.7000000000000002,0,215813.5071762,215813.514472,6.648800015682355,7.295800023712218,3.364999982295558,1.9896999874617904,0.0,True,ok,5312,5312
18,18,1.8,0,215813.5402244,215813.5481217,7.1693999925628304,7.897300005424768,2.9681000160053372,1.8393999780528247,0.0,True,ok,5363,5363
19,19,1.9000000000000001,0,215813.5735444,215813.5803988,6.390399998053908,6.854400009615347,3.0481000139843673,2.0309999817982316,0.0,True,ok,5455,5455
20,20,2.0,0,215813.607121,215813.6140482,6.290799996349961,6.927199981873855,3.020900010596961,2.02240000362508,0.0,True,ok,5508,5508
21,21,2.1,0,215813.6405586,215813.6472085,6.059700011974201,6.649900024058297,2.8298000106588006,1.9071999995503575,0.0,True,ok,5300,5300
22,22,2.2,0,215813.6738223,215813.6807091,6.40199999907054,6.886799994390458,3.029200015589595,2.0505000138655305,0.0,True,ok,5384,5384
23,23,2.3000000000000003,0,215813.7069068,215813.7146906,7.075000001350418,7.7837999851908535,3.0949999927543104,2.6368999970145524,0.0,True,ok,5355,5355
24,24,2.4000000000000004,0,215813.7405844,215813.7490354,7.275999989360571,8.45100000151433,3.713400015840307,2.335299999685958,0.0,True,ok,5072,5072
25,25,2.5,0,215813.7736701,215813.7807882,6.4165999938268214,7.118100009392947,2.806300006341189,2.3201000003609806,0.0,True,ok,4851,4851
26,26,2.6,0,215813.8071218,215813.814708,6.89239997882396,7.586199993966147,3.700800007209182,1.9014999852515757,0.0,True,ok,4933,4933
27,27,2.7,0,215813.8404064,215813.8476465,6.4144000061787665,7.2401000070385635,3.2506000134162605,1.879699993878603,0.0,True,ok,4889,4889
28,28,2.8000000000000003,0,215813.8736806,215813.8811873,6.875399994896725,7.506699999794364,3.02689999807626,2.5402999890502542,0.0,True,ok,4508,4508
29,29,2.9000000000000004,0,215813.907145,215813.9140235,6.27610000083223,6.878499989397824,3.0866000161040574,1.9616000063251704,0.0,True,ok,4516,4516
30,30,3.0,0,215813.9401376,215813.9471728,6.396299984771758,7.035199989331886,2.98099999781698,1.943399984156713,0.0,True,ok,4326,4326
31,31,3.1,0,215813.9735417,215813.9805302,6.3418000063393265,6.988500012084842,2.9962999979034066,2.091300004394725,0.0,True,ok,4407,4407
32,32,3.2,0,215814.0072306,215814.0140119,6.238500005565584,6.78130000596866,3.0968000064603984,1.8977999861817807,0.0,True,ok,4113,4113
33,33,3.3000000000000003,0,215814.0404693,215814.0477706,6.7749000154435635,7.30130000738427,3.218500001821667,2.243799972347915,0.0,True,ok,4211,4211
