sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
0,0,0.0,0,215322.0276693,215322.0555592,27.17260000645183,27.8898999968078,2.590099989902228,7.43909997981973,0.0,True,ok,4708,4708
1,1,0.1,0,215322.0520489,215322.0616417,6.067600013921037,9.592800022801384,2.6033000031020492,1.960599998710677,0.0,True,ok,4681,4681
2,2,0.2,0,215322.0851912,215322.091317,5.638900009216741,6.125800020527095,2.166399994166568,2.078799996525049,0.0,True,ok,4360,4360
3,3,0.30000000000000004,0,215322.1186663,215322.1251142,5.84490000619553,6.44789999932982,2.2271000198088586,2.1957000135444105,0.0,True,ok,4532,4532
4,4,0.4,0,215322.1521752,215322.1584117,5.56489999871701,6.236499990336597,2.3732999979984015,2.0101999980397522,0.0,True,ok,4533,4533
5,5,0.5,0,215322.1851763,215322.1918834,5.886700004339218,6.707099993946031,2.4307999992743134,2.199200011091307,0.0,True,ok,4334,4334
6,6,0.6000000000000001,0,215322.2187435,215322.2249888,5.557299999054521,6.245299999136478,2.2096999746281654,2.1305000118445605,0.0,True,ok,4462,4462
7,7,0.7000000000000001,0,215322.2517592,215322.2579942,5.810899980133399,6.234999978914857,2.1967999928165227,2.199699985794723,0.0,True,ok,4479,4479
8,8,0.8,0,215322.2854244,215322.2916447,5.702199996449053,6.220299983397126,2.3449000145774335,2.1949999791104347,0.0,True,ok,4534,4534
9,9,0.9,0,215322.3188345,215322.3248313,5.510699993465096,5.996799998683855,2.4759999942034483,1.858400006312877,0.0,True,ok,4491,4491
10,10,1.0,0,215322.3521826,215322.3583124,5.645600002026185,6.129799992777407,2.164099976653233,2.2428000229410827,0.0,True,ok,4600,4600
11,11,1.1,0,215322.3853505,215322.3912558,5.336000001989305,5.9053000004496425,2.186099998652935,1.919799979077652,0.0,True,ok,4781,4781
12,12,1.2000000000000002,0,215322.4184581,215322.4245423,5.459100008010864,6.084199994802475,2.1784999989904463,1.9566999981179833,0.0,True,ok,5044,5044
13,13,1.3,0,215322.4522348,215322.4588751,6.137900025350973,6.640300009166822,2.5849999801721424,2.2119999921415,0.0,True,ok,4620,4620
14,14,1.4000000000000001,0,215322.485177,215322.4916448,5.700999987311661,6.467800005339086,2.34540001838468,2.0963999850209802,0.0,True,ok,4785,4785
15,15,1.5,0,215322.5183238,215322.524406,5.431300000054762,6.082200008677319,2.1943000028841197,1.9591999880503863,0.0,True,ok,5045,5045
16,16,1.6,0,215322.5516635,215322.5582513,6.108100002165884,6.587800016859546,2.4096000124700367,2.2185000125318766,0.0,True,ok,5382,5382
17,17,1.7000000000000002,0,215322.5853436,215322.5911411,5.389300000388175,5.7975000236183405,2.1142999758012593,1.971099991351366,33.68009999394417,True,ok,5312,5312
18,18,1.8,0,215322.6186,215322.6256281,6.593400001293048,7.028100022580475,2.2049999970477074,2.005899994401261,33.25639999820851,True,ok,5363,5363
19,19,1.9000000000000001,0,215322.6518497,215322.6589151,5.833000002894551,7.065400015562773,2.191800012951717,2.2706999734509736,0.0,True,ok,5455,5455
20,20,2.0,0,215322.6853008,215322.6919637,6.003099988447502,6.662900006631389,2.2936000023037195,2.4384999996982515,0.0,True,ok,5508,5508
21,21,2.1,0,215322.7187509,215322.7257604,6.302900001173839,7.00949999736622,2.3215999826788902,2.6058999937959015,0.0,True,ok,5300,5300
22,22,2.2,0,215322.75168,215322.7580525,5.6647000019438565,6.372500007273629,2.2372000094037503,2.0958000095561147,0.0,True,ok,5384,5384
23,23,2.3000000000000003,0,215322.7852651,215322.7930729,7.0899999991524965,7.807799993315712,2.6294999988749623,2.9537999944295734,0.0,True,ok,5355,5355
24,24,2.4000000000000004,0,215322.8185902,215322.8256324,6.51760000619106,7.042199984425679,2.5385000044479966,2.497900015441701,0.0,True,ok,5072,5072
25,25,2.5,0,215322.8519995,215322.8585705,6.021499983035028,6.570999976247549,2.530099998693913,2.154699992388487,0.0,True,ok,4851,4851
26,26,2.6,0,215322.8853792,215322.8918262,5.9455000155139714,6.447000021580607,2.5711999915074557,2.100299985613674,0.0,True,ok,4933,4933
27,27,2.7,0,215322.9184834,215322.924699,5.72049999027513,6.215600005816668,2.2871000110171735,2.1563000045716763,0.0,True,ok,4889,4889
